Date,GPSLat,GPSLon,GPSSpeed,RxRate,TxRate,DLBandwidth,ULBandwidth,MNC,MCC,CID,PCI,LTE_RSRP,LTE_RSRQ,NR_SSRSRP,NR_SSRSRQ,earfcn,PCI1,LTE_RSRP1,LTE_RSRQ1,earfcn1
04/30/23 22:03:19 ,24.14256332,120.65601135,7.46,136,725,102400,51200,92,466,106599711,336,-76,-11,-73,-11,3650,302,-80,-12,3650,351,-82,-16,3650,252,-86,-20,3650,336,-93,-14,1750,338,-94,-18,1750,302,-93,-17,1750,351,-91,-15,1750,336,-90,-13,3050,338,-96,-19,3050,263,-98,-20,3050,302,-97,-20,3050,351,-98,-17,3050,149,-98,-19,3050
04/30/23 22:03:20 ,24.14256332,120.65601135,7.46,478,622,102400,51200,92,466,108602429,302,-69,-8,-73,-11,3650,336,-78,-14,3650,351,-80,-19,3650,252,-81,-20,3650
04/30/23 22:03:21 ,24.14143819,120.6557926,7.35,0,144,102400,51200,92,466,108602429,302,-69,-8,-73,-11,3650,336,-78,-14,3650,351,-80,-19,3650,252,-81,-20,3650
04/30/23 22:03:22 ,24.14136736,120.65579612,7.3,0,68,102400,51200,92,466,108602429,302,-70,-8,-73,-11,3650,336,-77,-13,3650,252,-84,-20,3650
04/30/23 22:03:23 ,24.14127504,120.65581137,7.2,96,168,102400,51200,92,466,108602429,302,-70,-8,-71,-11,3650,336,-77,-13,3650,252,-84,-20,3650
04/30/23 22:03:25 ,24.14118357,120.65581276,5.26,0,72,102400,51200,92,466,108602429,302,-76,-8,-71,-11,3650,336,-81,-14,3650
04/30/23 22:03:26 ,24.14111284,120.65581611,5.26,0,72,102400,51200,92,466,108602429,302,-76,-8,-71,-11,3650,336,-81,-14,3650
04/30/23 22:03:27 ,24.14109619,120.65578719,5.42,103,398,102400,51200,92,466,108602429,302,-77,-8,-74,-11,3650,336,-84,-15,3650
04/30/23 22:03:28 ,24.14104344,120.65576796,6.95,478,478,102400,51200,92,466,108602429,302,-77,-8,-74,-11,3650,336,-84,-15,3650
04/30/23 22:03:29 ,24.14101043,120.65572388,7.13,240,312,102400,51200,92,466,108602429,302,-81,-9,-74,-11,3650,336,-88,-16,3650,83,-89,-18,3650
04/30/23 22:03:30 ,24.14092533,120.65561928,7.9,192,264,102400,51200,92,466,108602429,302,-81,-9,-82,-11,3650,336,-88,-16,3650,83,-89,-18,3650
