Date,GPSLat,GPSLon,GPSSpeed,RxRate,TxRate,DLBandwidth,ULBandwidth,MNC,MCC,CID,PCI,LTE_RSRP,LTE_RSRQ,NR_SSRSRP,NR_SSRSRQ,earfcn,PCI1,LTE_RSRP1,LTE_RSRQ1,earfcn1
04/27/23 14:33:51 ,25.05931985,121.28945177,53.22,3328,56796,102400,51200,92,466,80588046,452,-86,-7,-88,-11,3050,452,-82,-8,1750,452,-87,-8,3400,452,-80,-8,525
04/27/23 14:33:52 ,25.05931985,121.28945177,53.22,4368,58972,102400,51200,92,466,80588046,452,-86,-7,-88,-11,3050,452,-87,-7,1750,452,-81,-8,3400,452,-83,-8,525
04/27/23 14:33:53 ,25.05931985,121.28945177,53.22,3276,61296,102400,51200,92,466,80588046,452,-86,-7,-86,-11,3050,452,-87,-7,1750,452,-81,-8,3400,452,-83,-8,525
04/27/23 14:33:55 ,25.05931985,121.28945177,53.22,3796,62108,102400,51200,92,466,80588046,452,-85,-7,-86,-11,3050,452,-87,-9,1750,452,-91,-10,3400,452,-79,-9,525
04/27/23 14:33:56 ,25.05931985,121.28945177,53.22,2548,58172,102400,51200,92,466,80588046,452,-85,-7,-85,-11,3050,452,-87,-9,1750,452,-91,-10,3400,452,-79,-9,525
04/27/23 14:33:57 ,25.05931985,121.28945177,53.22,3744,59028,102400,51200,92,466,80588046,452,-84,-8,-85,-11,3050,452,-81,-9,1750,452,-88,-8,3400,452,-79,-8,525
04/27/23 14:33:58 ,25.05931985,121.28945177,53.22,2756,58252,102400,51200,92,466,80588046,452,-84,-8,-85,-11,3050,452,-81,-9,1750,452,-88,-8,3400,452,-79,-8,525
04/27/23 14:33:59 ,25.05931985,121.28945177,53.22,3744,60108,102400,51200,92,466,80588046,452,-85,-8,-86,-11,3050,452,-81,-9,1750,452,-89,-8,3400,452,-81,-8,525
04/27/23 14:34:00 ,25.05931985,121.28945177,53.22,3328,60296,102400,51200,92,466,80588046,452,-85,-8,-86,-11,3050,452,-81,-9,1750,452,-89,-8,3400,452,-81,-8,525
04/27/23 14:34:01 ,25.05931985,121.28945177,53.22,3432,62400,102400,51200,92,466,80588046,452,-84,-8,-86,-11,3050,452,-84,-8,1750,35,-95,-16,1750,452,-88,-9,3400,452,-83,-8,525
04/27/23 14:34:02 ,25.05931985,121.28945177,53.22,3224,58140,102400,51200,92,466,80588046,452,-84,-8,-87,-11,3050,452,-84,-8,1750,35,-95,-16,1750,452,-88,-9,3400,452,-83,-8,525
04/27/23 14:34:04 ,25.05931985,121.28945177,53.22,3692,58552,102400,51200,92,466,80588046,452,-85,-8,-87,-11,3050,452,-85,-8,1750,35,-95,-17,1750,452,-83,-8,3400,452,-84,-8,525
04/27/23 14:34:05 ,25.05931985,121.28945177,53.22,3640,58956,102400,51200,92,466,80588046,452,-85,-8,-87,-11,3050,452,-85,-8,1750,35,-95,-17,1750,452,-83,-8,3400,452,-84,-8,525
04/27/23 14:34:06 ,25.05931985,121.28945177,53.22,10963,60935,102400,51200,92,466,80588046,452,-84,-7,-87,-11,3050,452,-84,-8,1750,452,-84,-8,3400,452,-83,-8,525
04/27/23 14:34:07 ,25.05931985,121.28945177,53.22,3588,60056,102400,51200,92,466,80588046,452,-84,-7,-87,-11,3050,452,-84,-8,1750,452,-84,-8,3400,452,-83,-8,525
04/27/23 14:34:08 ,25.05931985,121.28945177,53.22,2964,59984,102400,51200,92,466,80588046,452,-84,-8,-86,-11,3050,452,-83,-8,1750,452,-82,-10,3400,452,-85,-8,525
04/27/23 14:34:09 ,25.05931985,121.28945177,53.22,3276,58140,102400,51200,92,466,80588046,452,-84,-8,-86,-11,3050,452,-83,-8,1750,452,-82,-10,3400,452,-85,-8,525
04/27/23 14:34:10 ,25.05931985,121.28945177,53.22,2860,59932,102400,51200,92,466,80588046,452,-84,-8,-86,-11,3050,452,-82,-8,1750,452,-83,-10,3400,452,-84,-8,525
04/27/23 14:34:11 ,25.05931985,121.28945177,53.22,3276,56640,102400,51200,92,466,80588046,452,-84,-8,-85,-11,3050,452,-82,-8,1750,452,-83,-10,3400,452,-84,-8,525
04/27/23 14:34:12 ,25.05931985,121.28945177,53.22,3484,61900,102400,51200,92,466,80588046,452,-85,-7,-85,-11,3050,452,-86,-8,1750,452,-85,-10,3400,452,-85,-8,525
04/27/23 14:34:14 ,25.05931985,121.28945177,53.22,3588,57400,102400,51200,92,466,80588046,452,-85,-7,-86,-11,3050,452,-86,-8,1750,452,-85,-10,3400,452,-85,-8,525
04/27/23 14:34:15 ,25.05931985,121.28945177,53.22,3536,61056,102400,51200,92,466,80588046,452,-83,-7,-86,-11,3050,452,-83,-8,1750,452,-84,-8,3400,452,-81,-8,525
04/27/23 14:34:16 ,25.05931985,121.28945177,53.22,3068,59588,102400,51200,92,466,80588046,452,-83,-7,-86,-11,3050,452,-83,-8,1750,452,-84,-8,3400,452,-81,-8,525
04/27/23 14:34:17 ,25.05931985,121.28945177,53.22,4004,61212,102400,51200,92,466,80588046,452,-84,-8,-86,-11,3050,452,-81,-8,1750,452,-83,-9,3400,452,-82,-8,525
04/27/23 14:34:18 ,25.05931985,121.28945177,53.22,3172,58692,102400,51200,92,466,80588046,452,-84,-8,-86,-11,3050,452,-81,-8,1750,452,-83,-9,3400,452,-82,-8,525
04/27/23 14:34:19 ,25.05931985,121.28945177,53.22,4368,60024,102400,51200,92,466,80588046,452,-85,-7,-86,-11,3050,452,-89,-8,1750,452,-83,-9,3400,452,-83,-8,525
04/27/23 14:34:20 ,25.05931985,121.28945177,53.22,3328,58692,102400,51200,92,466,80588046,452,-85,-7,-85,-11,3050,452,-89,-8,1750,452,-83,-9,3400,452,-83,-8,525
04/27/23 14:34:21 ,25.05931985,121.28945177,53.22,3796,59056,102400,51200,92,466,80588046,452,-85,-7,-85,-11,3050,452,-86,-8,1750,452,-83,-9,3400,452,-83,-8,525
04/27/23 14:34:22 ,25.05931985,121.28945177,53.22,3952,58660,102400,51200,92,466,80588046,452,-85,-7,-85,-11,3050,452,-86,-8,1750,452,-83,-9,3400,452,-83,-8,525
04/27/23 14:34:24 ,25.05931985,121.28945177,53.22,3380,58692,102400,51200,92,466,80588046,452,-85,-7,-86,-11,3050,452,-86,-8,1750,452,-82,-9,3400,452,-86,-8,525
04/27/23 14:34:25 ,25.05931985,121.28945177,53.22,4420,59024,102400,51200,92,466,80588046,452,-85,-7,-86,-11,3050,452,-86,-8,1750,452,-82,-9,3400,452,-86,-8,525
04/27/23 14:34:26 ,25.05931985,121.28945177,53.22,4056,58712,102400,51200,92,466,80588046,452,-85,-8,-86,-11,3050,452,-85,-9,1750,452,-80,-10,3400,452,-82,-8,525
04/27/23 14:34:27 ,25.05931985,121.28945177,53.22,4212,58868,102400,51200,92,466,80588046,452,-85,-8,-86,-11,3050,452,-85,-9,1750,452,-80,-10,3400,452,-82,-8,525
04/27/23 14:34:28 ,25.05931985,121.28945177,53.22,3068,59536,102400,51200,92,466,80588046,452,-86,-8,-86,-11,3050,452,-84,-10,1750,452,-82,-9,3400,452,-82,-9,525
04/27/23 14:34:29 ,25.05931985,121.28945177,53.22,3536,58900,102400,51200,92,466,80588046,452,-86,-8,-87,-11,3050,452,-84,-10,1750,452,-82,-9,3400,452,-82,-9,525
04/27/23 14:34:30 ,25.05931985,121.28945177,53.22,3744,59160,102400,51200,92,466,80588046,452,-85,-8,-87,-11,3050,452,-84,-8,1750,452,-82,-9,3400,452,-83,-8,525
04/27/23 14:34:31 ,25.05931985,121.28945177,53.22,3120,58640,102400,51200,92,466,80588046,452,-85,-8,-87,-11,3050,452,-84,-8,1750,452,-82,-9,3400,452,-83,-8,525
04/27/23 14:34:32 ,25.05931985,121.28945177,53.22,3068,59112,102400,51200,92,466,80588046,452,-85,-7,-86,-11,3050,452,-89,-9,1750,452,-82,-9,3400,452,-82,-8,525
04/27/23 14:34:33 ,25.05931985,121.28945177,53.22,3640,60480,102400,51200,92,466,80588046,452,-85,-7,-86,-11,3050,452,-89,-9,1750,452,-82,-9,3400,452,-82,-8,525
04/27/23 14:34:35 ,25.05931985,121.28945177,53.22,3328,59848,102400,51200,92,466,80588046,452,-85,-7,-85,-11,3050,35,-103,-20,3050,452,-87,-8,1750,452,-84,-9,3400,452,-83,-8,525
